id,created_at,text
1104136067756761091,2019-03-08 21:45:27,Test 011
1104135936718323712,2019-03-08 21:44:55,Test010
1104125410609192960,2019-03-08 21:03:06,Test009
1104116781755576321,2019-03-08 20:28:48,Test 008
1103756831992803333,2019-03-07 20:38:30,Test007
1103378287454273536,2019-03-06 19:34:18,test006
1103374611318796289,2019-03-06 19:19:41,test005
1103367605300199424,2019-03-06 18:51:51,tweet004
1103323520262701057,2019-03-06 15:56:40,tweet 03
1102653535076921344,2019-03-04 19:34:23,Tweet 4
1102650425872912384,2019-03-04 19:22:02,testtweet
1095075916903051264,2019-02-11 21:43:38,Tweet 2
1095073101501603846,2019-02-11 21:32:27,Tweet 1
1095068641375240192,2019-02-11 21:14:44,Tweetss
1095067068708388864,2019-02-11 21:08:29,Tweeter
1095061064335667200,2019-02-11 20:44:37,Testing
1093965736027017216,2019-02-08 20:12:11,Testing
1088548732239523846,2019-01-24 21:26:56,Test 13
1088546919926939653,2019-01-24 21:19:44,Test 12
1088544691040239616,2019-01-24 21:10:53,Test 11
1088543293959557120,2019-01-24 21:05:20,Test 10
1088542701866438662,2019-01-24 21:02:58,Test 9
1088541402148098050,2019-01-24 20:57:49,Test 8
1088539862976942083,2019-01-24 20:51:42,Test 7
1088536248560615430,2019-01-24 20:37:20,Test 6
1088535505074114561,2019-01-24 20:34:23,Test 5
1088464039427166208,2019-01-24 15:50:24,Test 4
1088463527034212352,2019-01-24 15:48:22,Test 3
1088463267553525760,2019-01-24 15:47:20,Test 2
1088462790136864768,2019-01-24 15:45:26,Test
